Arrival rate7D,Finish rate7D,Num of unique resource7D,Process active time7D,Service time per case7D,Time in process per case7D,Waiting time in process per case7D,Num in process case7D
451,267,50,131761.9,2283.597215865752,301.51464530892446,0,184.0
398,348,49,110661.61666666654,2023.7894255874673,288.9337249782416,0,234.0
421,370,51,114498.05000000005,2031.0767241379308,282.0149014778326,0,285.0
397,391,50,112836.26666666653,1995.4477547495683,292.3219343696024,0,291.0
441,434,51,118056.96666666665,1988.3374213836466,278.4362421383647,0,298.0
550,503,51,138659.78333333327,2251.2483460559793,264.61790712468184,0,345.0
576,535,52,136269.53333333335,1967.0287712895392,248.66703163017036,0,386.0
412,495,52,101575.66666666666,1825.2906565656576,256.5042087542087,0,303.0
426,448,52,116622.83333333331,2221.15076305221,281.018875502008,0,281.0
378,392,49,101288.91666666667,2250.7213114754104,276.7456739526412,0,267.0
394,375,49,114716.5,2022.6790364583323,298.7408854166667,0,286.0
304,362,47,100089.93333333332,2463.813242009133,342.7737442922374,0,228.0
336,314,50,117135.88333333327,2360.500411522634,361.53050411522617,0,250.0
480,402,51,152181.44999999987,2574.3353448275852,327.9772629310342,0,328.0
455,379,49,132401.86666666667,1954.9315987933633,299.55173453996986,0,404.0
489,534,52,141581.50000000012,2216.7918976545825,301.8795309168446,0,359.0
424,438,51,129678.04999999997,1958.9918079096055,313.99043583535104,0,345.0
466,462,47,134194.88333333333,2219.114174107142,299.54215029761906,0,349.0
450,449,47,121682.24999999996,1709.9467125382253,279.0877293577981,0,350.0
507,547,48,110072.88333333339,1478.796048109966,226.95439862542966,0,310.0
487,505,44,99846.2833333333,1080.2723628691992,210.64616736990146,0,292.0
416,442,45,76419.99999999997,815.6123333333338,191.04999999999993,0,266.0
